bairro,alteracao_mensal,preco_m2,preco_medio
Jardim Ângela Zona Leste,+0.96%,R$ 4.956,R$ 330.878
Jardim Regina,-0.22%,R$ 4.949,R$ 668.053
Vila Libanesa,-0.60%,R$ 4.935,R$ 778.711
Jardim Nordeste,-0.45%,R$ 4.934,R$ 372.042
Vila Dalila,+0.74%,R$ 4.916,R$ 459.987
Vila Medeiros,+0.08%,R$ 4.914,R$ 546.238
Jardim São Savério,+0.53%,R$ 4.902,R$ 266.501
Jardim Pinheiros,-0.15%,R$ 4.900,R$ 598.676
Vila Curuçá,-0.50%,R$ 4.899,R$ 341.294
Cidade Antônio Estevão de Carvalho,-2.89%,R$ 4.898,R$ 341.958
Vila Brasilina,-0.87%,R$ 4.898,R$ 751.473
Jardim Popular,+0.05%,R$ 4.893,R$ 670.922
Jardim Umarizal,+0.21%,R$ 4.893,R$ 302.924
Vila Santos,-0.83%,R$ 4.892,R$ 674.310
Vila Liviero,-0.43%,R$ 4.891,R$ 466.573
Parque São Lourenço,+1.47%,R$ 4.885,R$ 258.606
Vila Carbone,-0.20%,R$ 4.884,R$ 519.893
Horto Florestal,+0.16%,R$ 4.876,R$ 1.316.660
Paraisópolis,+0.10%,R$ 4.874,R$ 590.892
Jardim Ivana,-0.77%,R$ 4.871,R$ 410.799
Americanópolis,+0.73%,R$ 4.867,R$ 540.921
Vila Água Funda,+0.02%,R$ 4.863,R$ 482.219
Jardim Germânia,+0.54%,R$ 4.859,R$ 444.836
Jardim Guairaca,-0.10%,R$ 4.856,R$ 389.020
Vila Rio Branco,-0.39%,R$ 4.856,R$ 550.506
Jardim Santa Emília,+0.64%,R$ 4.855,R$ 351.859
Jardim Taboão,+0.67%,R$ 4.854,R$ 589.539
Vila dos Remédios,+0.21%,R$ 4.850,R$ 510.221
Vila Campo Grande,+0.36%,R$ 4.836,R$ 560.048
Parque Fongaro,-0.66%,R$ 4.814,R$ 409.673
Vila Pierina,-0.06%,R$ 4.813,R$ 382.096
Parque Ipê,+0.29%,R$ 4.801,R$ 471.972
Jardim Santo Elias,+0.18%,R$ 4.790,R$ 614.459
Jardim Três Marias,+1.44%,R$ 4.787,R$ 449.539
Vila Nilo,-0.01%,R$ 4.786,R$ 431.799
Parque São Lucas,+1.16%,R$ 4.783,R$ 625.511
Jardim Santa Terezinha Zona Leste,+0.10%,R$ 4.777,R$ 258.882
Interlagos,-0.31%,R$ 4.773,R$ 1.379.968
Jardim Santa Cruz Sacomã,+0.37%,R$ 4.772,R$ 462.148
Jardim Maringá,+0.08%,R$ 4.741,R$ 432.002
Jardim Norma,-0.50%,R$ 4.738,R$ 338.993
Parque São Luís,+0.13%,R$ 4.737,R$ 521.466
Vila Clarice,+0.92%,R$ 4.733,R$ 591.087
Cangaíba,-0.40%,R$ 4.725,R$ 416.805
Casa Verde Alta,+0.26%,R$ 4.725,R$ 473.793
Jaraguá,+0.29%,R$ 4.710,R$ 335.320
Engenheiro Goulart,-0.11%,R$ 4.703,R$ 400.279
Fazenda Aricanduva,-0.13%,R$ 4.701,R$ 285.244
Vila Zat,+1.29%,R$ 4.694,R$ 731.410
Jardim Amaralina,-0.02%,R$ 4.693,R$ 322.704
Conjunto Residencial Vista Verde,-0.36%,R$ 4.683,R$ 446.860
Jardim Líbano,+2.76%,R$ 4.679,R$ 545.953
Vila Natália,-0.22%,R$ 4.679,R$ 447.381
Jardim Rosa Maria,-0.21%,R$ 4.672,R$ 723.593
Parque dos Príncipes,+0.01%,R$ 4.670,R$ 1.812.170
Vila Antônio,-0.45%,R$ 4.670,R$ 517.210
Itaquera,-0.27%,R$ 4.663,R$ 342.287
Jardim São Nicolau,+0.77%,R$ 4.663,R$ 640.855
São João Clímaco,-0.05%,R$ 4.662,R$ 442.229
Jardim Patente Novo,+0.57%,R$ 4.656,R$ 427.596
Parque Cruzeiro do Sul,-1.44%,R$ 4.655,R$ 512.715
Vila Taquari,+0.41%,R$ 4.655,R$ 363.807
Jardim Matarazzo,-1.09%,R$ 4.651,R$ 367.383
Jardim Mitsutani,+2.48%,R$ 4.633,R$ 292.852
Jardim Guanca,+0.85%,R$ 4.629,R$ 807.085
Colônia Zona Leste,+0.30%,R$ 4.608,R$ 216.071
São Miguel Paulista,-1.95%,R$ 4.602,R$ 380.921
Jardim Maria Estela,-0.25%,R$ 4.599,R$ 505.667
Vila Buenos Aires,-1.10%,R$ 4.592,R$ 500.448
Vila Sabrina,-0.15%,R$ 4.591,R$ 584.950
Vila Nhocune,+0.36%,R$ 4.586,R$ 464.825
Cidade Dutra,-0.33%,R$ 4.572,R$ 752.262
Vila Pedra Branca,-0.26%,R$ 4.567,R$ 938.546
Jardim Santa Helena,+0.90%,R$ 4.562,R$ 1.849.577
Jardim Maristela,-0.03%,R$ 4.559,R$ 477.285
Vila Carmosina,+0.60%,R$ 4.559,R$ 318.598
Burgo Paulista,-1.23%,R$ 4.541,R$ 500.780
Jardim Imperador Zona Leste,+0.67%,R$ 4.512,R$ 459.833
Cidade dos Bandeirantes,-1.02%,R$ 4.483,R$ 505.329
Jardim Aricanduva,+1.56%,R$ 4.482,R$ 533.151
Sítio Morro Grande,-1.60%,R$ 4.481,R$ 399.315
Jardim Nove de Julho,-0.17%,R$ 4.475,R$ 314.937
Vila Ede,0.00%,R$ 4.470,R$ 608.877
Cidade Líder,+0.29%,R$ 4.431,R$ 413.268
Jardim Mangalot,-0.23%,R$ 4.428,R$ 681.587
Parada XV de Novembro,+0.50%,R$ 4.418,R$ 254.095
Jardim Peri,-0.20%,R$ 4.408,R$ 561.658
Jardim Santa Maria,+0.30%,R$ 4.401,R$ 599.142
Jardim Jaú Zona Leste,+1.11%,R$ 4.395,R$ 445.084
Jardim Danfer,-0.55%,R$ 4.394,R$ 372.559
Vila Santa Teresa Zona Sul,-0.15%,R$ 4.385,R$ 298.924
Jardim Pedro José Nunes,-2.15%,R$ 4.378,R$ 403.480
Vila Progresso Zona Leste,-0.18%,R$ 4.321,R$ 250.395
Jardim São José Zona Norte,-0.51%,R$ 4.316,R$ 716.886
Vila Fachini,+0.60%,R$ 4.307,R$ 487.189
Vila Sílvia,-0.46%,R$ 4.293,R$ 268.507
Jardim Primavera,-1.20%,R$ 4.245,R$ 644.497
Jardim Nossa Senhora do Carmo,+0.97%,R$ 4.222,R$ 589.668
Conjunto Habitacional Padre Manoel da Nóbrega,-0.58%,R$ 4.213,R$ 211.758
Jardim Jabaquara,+1.23%,R$ 4.213,R$ 728.972
Parque Edu Chaves,-0.17%,R$ 4.189,R$ 544.896
Jardim Santa Mônica,-0.19%,R$ 4.168,R$ 341.683
Itaim Paulista,+0.14%,R$ 4.147,R$ 732.821
Vila Tiradentes,+0.55%,R$ 4.121,R$ 560.891
Vila Nova Curuçá,-0.60%,R$ 4.101,R$ 313.733
Jardim D'Abril,+1.15%,R$ 4.057,R$ 355.107
Parque Savoy City,+0.41%,R$ 4.047,R$ 474.229
Jardim Patente,+0.14%,R$ 3.998,R$ 379.586
Cidade Satélite Santa Bárbara,+0.45%,R$ 3.991,R$ 329.533
Jardim Brasília Zona Leste,-0.14%,R$ 3.977,R$ 642.953
Jardim Guapira,+0.16%,R$ 3.885,R$ 1.186.167
Parque Casa de Pedra,-0.03%,R$ 3.877,R$ 511.675
Cidade São Mateus,+0.48%,R$ 3.719,R$ 377.927
Conjunto Habitacional Teotonio Vilela,-0.46%,R$ 3.694,R$ 185.177
Conjunto Residencial José Bonifácio,-0.38%,R$ 3.580,R$ 212.102
