bairro,alteracao_mensal,preco_m2,preco_medio
Jardim Brasil Zona Sul,+0.88%,R$ 8.476,R$ 932.799
São Judas,+1.14%,R$ 8.436,R$ 841.501
Jardim Cordeiro,-0.18%,R$ 8.353,R$ 4.486.327
Parque Imperial,+0.47%,R$ 8.325,R$ 745.614
Jardim Aeroporto,-0.22%,R$ 8.314,R$ 788.048
Siciliano,+1.61%,R$ 8.301,R$ 1.665.562
Liberdade,-0.31%,R$ 8.292,R$ 493.550
Vila Mascote,+0.31%,R$ 8.291,R$ 915.107
Vila Regente Feijó,+0.48%,R$ 8.259,R$ 1.121.414
Parque São Jorge,+0.40%,R$ 8.227,R$ 874.544
Jardim Leonor,+0.99%,R$ 8.192,R$ 2.926.610
Vila Monte Alegre,-0.09%,R$ 8.132,R$ 745.242
Casa Verde,-0.03%,R$ 8.089,R$ 939.569
Ipiranga,+0.18%,R$ 8.082,R$ 883.367
Santa Teresinha,+1.06%,R$ 8.025,R$ 980.292
Vila Azevedo,+0.06%,R$ 8.016,R$ 655.556
Vila Guarani Zona Sul,+0.22%,R$ 7.984,R$ 680.270
Jardim da Glória,-0.39%,R$ 7.977,R$ 1.249.572
Cidade Mãe do Céu,+0.97%,R$ 7.973,R$ 1.131.761
Granja Julieta,+0.66%,R$ 7.963,R$ 2.674.151
Jardim Campo Grande,+0.82%,R$ 7.911,R$ 1.411.956
Paineiras do Morumbi,+0.70%,R$ 7.891,R$ 3.490.181
Vila Alexandria,+0.38%,R$ 7.888,R$ 951.335
Real Parque,+0.62%,R$ 7.882,R$ 1.804.353
Jardim Vitória Régia,+1.38%,R$ 7.879,R$ 3.126.716
Usina Piratininga,+1.00%,R$ 7.849,R$ 517.304
Vila Santo Estevão,+0.73%,R$ 7.822,R$ 1.221.100
Tatuapé,+0.42%,R$ 7.819,R$ 850.876
Santa Efigênia,+0.36%,R$ 7.801,R$ 396.634
Vila do Bosque,+0.17%,R$ 7.799,R$ 844.448
Chácara Monte Alegre,+0.40%,R$ 7.777,R$ 3.308.745
Santana,+0.18%,R$ 7.743,R$ 1.086.191
Bosque da Saúde,-0.06%,R$ 7.728,R$ 1.175.119
Vila São José Ipiranga,+0.30%,R$ 7.723,R$ 883.097
Vila Indiana,+0.13%,R$ 7.691,R$ 865.484
Vila Tramontano,-0.08%,R$ 7.685,R$ 3.740.912
Vila Sofia,+1.06%,R$ 7.668,R$ 901.839
Paraíso do Morumbi,+0.63%,R$ 7.611,R$ 1.823.393
Jardim Caboré,+0.95%,R$ 7.560,R$ 645.226
Pari,-0.80%,R$ 7.552,R$ 726.377
Belenzinho,+0.37%,R$ 7.498,R$ 861.212
Chácara Califórnia,+0.27%,R$ 7.487,R$ 920.411
Vila Santa Catarina,+0.80%,R$ 7.469,R$ 636.389
Morumbi,+0.24%,R$ 7.448,R$ 3.590.351
Vila Morumbi,-0.05%,R$ 7.441,R$ 2.826.646
Vila Isa,+0.82%,R$ 7.435,R$ 647.984
Alto da Mooca,-0.02%,R$ 7.415,R$ 945.021
